ULAND;Jahr;Monat;Temperatur Mittelwert;Niederschlagmenge in Summe Liter pro qm;Sonnenscheindauer in Summe in Stunden
4;2019;2;5,2;26,9;112,8
4;2019;3;7,1;84;86,3
4;2019;4;9,8;29,1;239,3
4;2019;5;11,3;42,9;184,8
4;2019;6;19,3;57,7;285
4;2019;7;18,5;39,4;194
4;2019;8;19,1;59,1;224,9
4;2019;9;14,1;85,2;143,1
4;2019;10;11,1;100,7;103,1
4;2019;11;5,7;65,9;39,6
4;2019;12;4,9;50,4;49,6
4;2020;1;5;44,9;38,3
4;2020;2;6;136,5;48,8
4;2020;3;5,8;52,5;172,5
4;2020;4;10,1;14;287,6
4;2020;5;11,9;24,1;234,9
4;2020;6;17,5;73,4;231,1
4;2020;7;16,6;65,5;182,9
4;2020;8;20,2;65,6;221,7
4;2020;9;14,5;44,6;197,1
4;2020;10;11;77,2;64,5
4;2020;11;7,6;24,9;72,5
4;2020;12;4,4;65,3;28,2
4;2021;1;1,7;70,9;31,2
4;2021;2;1,9;49,1;90,7
4;2021;3;5,4;54,7;124,5
4;2021;4;6,2;41,2;178,6
4;2021;5;10,9;87,8;150,7
4;2021;6;18,8;74,9;241,2
4;2021;7;18,7;72,9;180,1
4;2021;8;16,6;92,5;147,9
4;2021;9;15,4;44,3;140,7
4;2021;10;10,9;60,4;105,7
4;2021;11;6,5;42,7;39,9
4;2021;12;3,3;57,2;36,7
2;2016;1;1,4;67,5;44,5
2;2016;2;3,5;81,6;74,3
2;2016;3;4,6;36,9;99,6
2;2016;4;8;50,4;164,1
2;2016;5;14,3;42,7;238,5
2;2016;6;17,2;115,9;188,8
2;2016;7;18,4;58,6;190,2
2;2016;8;17,5;39,9;204,1
2;2016;9;17,3;26,1;205,2
2;2016;10;9,1;47,8;55,8
2;2016;11;4,2;50,4;57,7
2;2016;12;3,9;35,7;51,1
2;2017;1;-0,1;60,6;59,7
2;2017;2;3,2;51,5;51,9
2;2017;3;7,5;56,6;141,3
2;2017;4;7,5;34;153,2
2;2017;5;14,3;48,5;204,6
2;2017;6;17,1;102,1;205,1
2;2017;7;17,5;137,3;179,5
2;2017;8;17,2;72,2;182,6
2;2017;9;13,4;82,5;113,5
2;2017;10;12;83,8;83
2;2017;11;6,2;78,2;32,6
2;2017;12;4;83,7;19,2
2;2018;1;3,9;98,3;29,4
2;2018;2;-1;11,7;120,5
2;2018;3;2,6;45,4;119,3
2;2018;4;12;52,3;194,3
2;2018;5;16,6;25;312,5
2;2018;6;17,5;35;196,2
2;2018;7;20,3;27,3;324,5
2;2018;8;19,4;40,8;226,3
2;2018;9;15,2;34,1;190
2;2018;10;11,2;31,7;153
2;2018;11;5,8;19,9;70,8
2;2018;12;5,2;90,8;24,1
2;2019;1;2;77,2;47,4
2;2019;2;5,2;26,9;112,8
2;2019;3;7,1;84;86,3
2;2019;4;9,8;29,1;239,3
2;2019;5;11,3;42,9;184,8
2;2019;6;19,3;57,7;285
2;2019;7;18,5;39,4;194
2;2019;8;19,1;59,1;224,9
2;2019;9;14,1;85,2;143,1
2;2019;10;11,1;100,7;103,1
2;2019;11;5,7;65,9;39,6
2;2019;12;4,9;50,4;49,6
2;2020;1;5;44,9;38,3
2;2020;2;6;136,5;48,8
2;2020;3;5,8;52,5;172,5
2;2020;4;10,1;14;287,6
2;2020;5;11,9;24,1;234,9
2;2020;6;17,5;73,4;231,1
2;2020;7;16,6;65,5;182,9
2;2020;8;20,2;65,6;221,7
2;2020;9;14,5;44,6;197,1
2;2020;10;11;77,2;64,5
2;2020;11;7,6;24,9;72,5
2;2020;12;4,4;65,3;28,2
2;2021;1;1,7;70,9;31,2
2;2021;2;1,9;49,1;90,7
2;2021;3;5,4;54,7;124,5
2;2021;4;6,2;41,2;178,6
2;2021;5;10,9;87,8;150,7
2;2021;6;18,8;74,9;241,2
2;2021;7;18,7;72,9;180,1
2;2021;8;16,6;92,5;147,9
2;2021;9;15,4;44,3;140,7
2;2021;10;10,9;60,4;105,7
2;2021;11;6,5;42,7;39,9
2;2021;12;3,3;57,2;36,7
